drug_id,drug_name,mean_pred_ic50,mean_true_ic50,std_pred_ic50,n_samples,sensitivity_rate,rank,category,score,_name_key,drug_name_step6,validation_score,final_rank,known_brca,survival_sig,drug_name_step7,category_step7,flags,safety_score,combined_score,final_rank_step7,metabric_admet_available
1819,docetaxel,-4.3071065,-1.764844,0.5228827,25,0.92,1,Validated,28.0,docetaxel,Docetaxel,9.25,5.0,1.0,1.0,Docetaxel,Approved,['DILI (Drug-Induced Liver Injury)(+)'],6.83,12.33,8.0,True
1080,paclitaxel,-3.4391427,-2.779678,0.59379864,28,1.0,2,Validated,50.0,paclitaxel,Paclitaxel,9.15,7.0,1.0,1.0,Paclitaxel,Approved,['DILI (Drug-Induced Liver Injury)(+)'],6.83,11.33,11.0,True
1811,dactinomycin,-2.999836,-1.8154681,0.696528,26,1.0,3,Validated,49.0,dactinomycin,Dactinomycin,7.8,4.0,1.0,1.0,Dactinomycin,Approved,['DILI (Drug-Induced Liver Injury)(+)'],7.0,13.0,3.0,True
2048,vinorelbine,-1.5775554,-2.7805393,0.853977,28,1.0,6,Validated,46.0,vinorelbine,Vinorelbine,9.1,8.0,1.0,1.0,Vinorelbine,Approved,[],8.0,12.0,9.0,True
1004,vinblastine,-1.4824135,-2.7355084,0.6839957,27,1.0,7,Validated,45.0,vinblastine,Vinblastine,9.2,6.0,1.0,1.0,Vinblastine,Approved,[],7.83,12.83,5.0,True
1034,staurosporine,-0.2666945,-2.5313642,0.7718672,29,1.0,9,Validated,43.0,staurosporine,Staurosporine,7.5,10.0,1.0,1.0,Staurosporine,Candidate,[],10.0,13.0,4.0,True
1511,epirubicin,0.6785437,0.062827714,0.8988778,28,1.0,13,Validated,39.0,epirubicin,Epirubicin,8.35,15.0,1.0,1.0,Epirubicin,Caution,"['Ames Mutagenicity(+)', 'DILI (Drug-Induced Liver Injury)(+)']",2.83,3.33,15.0,True
1084,rapamycin,0.77469987,-2.5873635,0.66097784,28,1.0,14,Validated,38.0,rapamycin,Rapamycin,9.05,9.0,1.0,1.0,Rapamycin,Approved,[],7.71,11.21,12.0,True
1191,bortezomib,1.2839334,-5.1592407,0.7511377,28,1.0,19,Validated,33.0,bortezomib,Bortezomib,9.45,1.0,1.0,1.0,Bortezomib,Approved,['DILI (Drug-Induced Liver Injury)(+)'],5.29,12.79,6.0,True
1817,romidepsin,1.5493195,-5.024497,0.6390663,26,1.0,22,Validated,30.0,romidepsin,Romidepsin,6.9,2.0,1.0,0.0,Romidepsin,Approved,[],12.0,19.0,1.0,True
1003,camptothecin,1.8269312,-0.8017532,0.8483516,28,1.0,27,Validated,25.0,camptothecin,Camptothecin,8.65,14.0,1.0,1.0,Camptothecin,Candidate,[],10.0,11.0,13.0,True
1941,sepantroniumbromide,1.8506709,-3.8589985,0.91009706,28,1.0,29,Validated,23.0,sepantroniumbromide,Sepantronium bromide,7.35,3.0,0.0,1.0,Sepantronium bromide,Candidate,[],10.0,16.5,2.0,True
1016,temsirolimus,-2.30802,1.3265878,0.53631973,26,0.9230769230769232,4,Validated,27.0,temsirolimus,,,,,,,,,,,,False
1024,lestaurtinib,-1.7008339,0.62848645,0.59585816,28,0.9642857142857144,5,Validated,30.0,lestaurtinib,,,,,,,,,,,,False
1808,topotecan,-0.8852633,1.1310672,0.7918676,26,0.8846153846153846,8,Validated,17.0,topotecan,,,,,,,,,,,,False
1809,teniposide,-0.15287615,1.6094921,0.73764366,26,0.8846153846153846,10,Validated,15.0,teniposide,,,,,,,,,,,,False
1088,irinotecan,0.34598753,3.9106271,0.92177427,28,0.3214285714285714,11,Recommended,-2.0,irinotecan,,,,,,,,,,,,False
1026,tanespimycin,0.5398705,-0.13994817,0.8289335,28,1.0,12,Validated,40.0,tanespimycin,,,,,,,,,,,,False
1845,schweinfurthina,0.93365663,2.14079,0.7065433,26,0.8076923076923077,15,Validated,6.0,schweinfurthina,,,,,,,,,,,,False
1593,entinostat,0.95356786,2.312557,0.703568,28,0.7857142857142857,16,Validated,3.0,entinostat,,,,,,,,,,,,False
1862,mg132,0.9555576,-1.20403,0.7484633,29,1.0,17,Validated,35.0,mg132,,,,,,,,,,,,False
1039,sl0101,0.98932534,4.010615,,1,0.0,18,Recommended,-16.0,sl0101,,,,,,,,,,,,False
1849,sabutoclax,1.3245382,-0.12460256,0.67540854,27,1.0,20,Validated,32.0,sabutoclax,,,,,,,,,,,,False
1617,azd5582,1.3485898,1.7572583,0.5105486,26,0.7692307692307693,21,Validated,-5.0,azd5582,,,,,,,,,,,,False
1853,of1,1.7037646,3.6717947,0.7569062,27,0.4074074074074074,23,Recommended,-12.0,of1,,,,,,,,,,,,False
1843,lmp744,1.7095236,1.1206999,0.6735461,26,0.8846153846153846,24,Validated,1.0,lmp744,,,,,,,,,,,,False
1011,navitoclax,1.7589177,1.7700702,0.45125672,29,0.9310344827586208,25,Validated,8.0,navitoclax,,,,,,,,,,,,False
1058,pictilisib,1.7894241,1.0460755,0.7685314,29,0.9655172413793104,26,Validated,11.0,pictilisib,,,,,,,,,,,,False
1909,venetoclax,1.8425761,3.0509722,0.514374,28,0.75,28,Validated,-15.0,venetoclax,,,,,,,,,,,,False
1810,mitoxantrone,1.8507383,1.8554071,0.642676,26,0.7692307692307693,30,Validated,-14.0,mitoxantrone,,,,,,,,,,,,False
