drug_id,mean_pred_ic50,mean_true_ic50,std_pred_ic50,n_samples,sensitivity_rate,rank,category,score
1191,-4.840238,-5.1592407,0.5331818,28,1.0,1,Validated,42.0
1817,-4.798151,-5.024497,0.4728589,26,1.0,2,Validated,41.0
1941,-3.7625906,-3.8589985,0.7562094,28,1.0,3,Validated,40.0
1911,-3.1860309,-4.040127,0.8830992,28,1.0,4,Validated,39.0
1007,-3.054092,-4.1176643,1.4020625,29,1.0,5,Validated,38.0
1819,-2.874429,-1.764844,1.1499178,25,0.92,6,Validated,3.0
1004,-2.8170652,-2.7355084,1.1282035,27,1.0,7,Validated,36.0
1811,-2.7418,-1.8154681,0.772079,26,1.0,8,Validated,35.0
1080,-2.6740625,-2.779678,1.1793438,28,1.0,9,Validated,34.0
2048,-2.5985014,-2.7805393,1.1256806,28,1.0,10,Validated,33.0
1034,-2.418524,-2.5313642,0.6868416,29,1.0,11,Validated,32.0
1494,-2.4131103,-2.6124706,1.0441165,28,1.0,12,Validated,31.0
1084,-2.3719487,-2.5873635,0.81832725,28,1.0,13,Validated,30.0
1180,-2.2407935,-2.3472707,0.8719439,27,1.0,14,Validated,29.0
1248,-2.0104792,-2.4797933,0.9621768,15,1.0,15,Validated,28.0
1559,-1.9329301,-2.1197999,0.74030876,28,1.0,16,Validated,27.0
1057,-1.2147548,-1.4217746,0.89037275,28,1.0,17,Validated,26.0
1862,-1.1281704,-1.20403,0.5900749,29,1.0,18,Validated,25.0
1003,-0.859237,-0.8017532,1.0399989,28,1.0,19,Validated,24.0
1039,-0.42197868,4.010615,,1,0.0,20,Recommended,-18.0
1825,-0.16356525,-0.18579899,1.0123147,26,0.9230769230769231,21,Validated,-10.0
1026,-0.115867205,-0.13994817,0.62736285,28,1.0,22,Validated,21.0
1849,-0.061524168,-0.12460256,0.6783124,27,1.0,23,Validated,20.0
1511,-0.04085471,0.062827714,0.88429904,28,1.0,24,Validated,19.0
1059,-0.03532074,-0.14524218,0.7427935,28,1.0,25,Validated,18.0
1827,-0.021458102,-0.080729686,0.98096424,26,1.0,26,Validated,17.0
1008,0.1358366,0.17289959,0.6463751,27,0.9629629629629629,27,Validated,-12.0
1086,0.4342008,0.49505028,0.7422556,24,0.9583333333333334,28,Validated,-15.0
1926,0.4846118,0.4689668,0.8532475,28,0.9642857142857143,29,Validated,-11.0
1024,0.57496655,0.62848645,0.60007113,28,0.9642857142857143,30,Validated,-12.0
