drug_id,drug_name,mean_pred_ic50,mean_true_ic50,std_pred_ic50,n_samples,sensitivity_rate,rank,category,score,final_rank
1191,bortezomib,-4.751671,-5.1592407,0.6777743,28,1.0,1,Validated,43.0,1
1817,romidepsin,-4.740945,-5.024497,0.7222798,26,1.0,2,Validated,42.0,2
1941,sepantroniumbromide,-3.8545094,-3.8589985,0.79236794,28,1.0,3,Validated,41.0,3
1007,docetaxel,-3.303375,-4.1176643,1.3702282,29,1.0,4,Validated,40.0,4
1911,dactinomycin,-3.017822,-4.040127,1.0718911,28,1.0,5,Validated,39.0,5
1080,paclitaxel,-2.8374474,-2.779678,1.1449765,28,1.0,6,Validated,38.0,6
2048,vinorelbine,-2.830103,-2.7805393,0.90783393,28,1.0,7,Validated,37.0,7
1004,vinblastine,-2.7405567,-2.7355084,1.0744184,27,1.0,8,Validated,36.0,8
1034,staurosporine,-2.476121,-2.5313642,0.69906586,29,1.0,9,Validated,35.0,9
1494,sn38,-2.4624267,-2.6124706,0.8541661,28,1.0,10,Validated,34.0,10
1084,rapamycin,-2.3947394,-2.5873635,0.9937419,28,1.0,11,Validated,33.0,11
1180,dinaciclib,-2.1907222,-2.3472707,0.79128623,27,1.0,12,Validated,32.0,12
1248,daporinad,-1.8980116,-2.4797933,0.7089576,15,1.0,13,Validated,31.0,13
1559,luminespib,-1.8342931,-2.1197999,0.81584245,28,1.0,14,Validated,30.0,14
1862,mg132,-1.220103,-1.20403,0.6993971,29,1.0,15,Validated,29.0,15
