final_rank,drug_id,drug_name,target,pathway,predicted_ic50,sensitivity_rate,safety_score,category,flags,combined_score,n_assays_tested,validation_score,final_rank_step6,known_brca,target_expressed,brca_pathway,survival_sig,survival_p,clinical_bucket,clinical_rationale,recommendation_note
1,1817,Romidepsin,"HDAC1, HDAC2, HDAC3, HDAC8",Chromatin histone acetylation,-4.740945,1.0,12.0,Approved,[],19.0,2,6.9,2,1,1,1,0,0.9337739730175598,적응증 확장/연구 중,"FDA 승인: CTCL/PTCL. 유방암 TNBC 임상시험 (NCT02393794, NCT01638533)","유방암으로 확장 가능성이 있고, 추가 translational 검토 가치가 있습니다."
2,1941,Sepantronium bromide,BIRC5,Apoptosis regulation,-3.8545094,1.0,10.0,Candidate,[],16.5,1,7.35,3,0,1,1,1,1.2445010819846686e-07,유방암 미사용,연구용 화합물. Survivin 억제제. 유방암 적응증 없음,재창출 관점의 exploratory candidate로 적절합니다.
3,1034,Staurosporine,Broad spectrum kinase inhibitor,RTK signaling,-2.476121,1.0,10.0,Candidate,[],13.5,1,7.55,9,1,1,0,1,0.01,유방암 미사용,연구용 천연 화합물. FDA 미승인. 임상시험 없음,재창출 관점의 exploratory candidate로 적절합니다.
4,1494,SN-38,TOP1,DNA replication,-2.4624267,1.0,10.0,Candidate,[],13.0,5,9.0,10,1,1,1,1,6.331006623497154e-05,적응증 확장/연구 중,Sacituzumab govitecan (SN-38 접합체) FDA TNBC 승인. SN-38 자체는 미승인,"유방암으로 확장 가능성이 있고, 추가 translational 검토 가치가 있습니다."
5,1007,Docetaxel,Microtubule stabiliser,Mitosis,-3.303375,1.0,6.83,Approved,['DILI (Drug-Induced Liver Injury)(+)'],12.83,12,9.3,4,1,1,1,1,0.01,유방암 현재 사용,FDA 유방암 적응증 승인 (보조/전이성). NCCN 표준요법,"임상 현실과 일치하는 재발견 후보로, 우선 shortlist에 두기 좋습니다."
6,1191,Bortezomib,Proteasome,Protein stability and degradation,-4.751671,1.0,5.29,Approved,['DILI (Drug-Induced Liver Injury)(+)'],12.79,7,9.45,1,1,1,1,1,0.01,적응증 확장/연구 중,FDA 승인: 다발성 골수종. 유방암 임상시험 진행 (NCT00025246 등),"유방암으로 확장 가능성이 있고, 추가 translational 검토 가치가 있습니다."
7,1911,Dactinomycin,RNA polymerase,Other,-3.017822,1.0,7.0,Approved,['DILI (Drug-Induced Liver Injury)(+)'],12.5,5,7.75,5,1,1,0,1,0.01,유방암 미사용,"FDA 승인: 윌름스 종양, 융모성 질환. 유방암 적응증 없음",재창출 관점의 exploratory candidate로 적절합니다.
8,2048,Vinorelbine,Microtubule destabiliser,Mitosis,-2.830103,1.0,8.0,Approved,[],12.5,10,9.15,7,1,1,1,1,0.01,유방암 현재 사용,전이성 유방암 표준요법. NCCN 가이드라인 포함,"임상 현실과 일치하는 재발견 후보로, 우선 shortlist에 두기 좋습니다."
9,1180,Dinaciclib,"CDK1, CDK2, CDK5, CDK9",Cell cycle,-2.1907222,1.0,10.0,Candidate,[],12.0,4,8.9,12,1,1,1,1,2.2566323399559103e-05,적응증 확장/연구 중,CDK 억제제. 유방암 1/2상 임상시험 진행 (NCT01624441 등),"유방암으로 확장 가능성이 있고, 추가 translational 검토 가치가 있습니다."
10,1080,Paclitaxel,Microtubule stabiliser,Mitosis,-2.8374474,1.0,6.83,Approved,['DILI (Drug-Induced Liver Injury)(+)'],11.83,12,9.2,6,1,1,1,1,0.01,유방암 현재 사용,FDA 유방암 적응증 승인 (보조/전이성). NCCN 표준요법,"임상 현실과 일치하는 재발견 후보로, 우선 shortlist에 두기 좋습니다."
11,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.7405567,1.0,7.83,Approved,[],11.83,12,9.1,8,1,1,1,1,0.01,유방암 현재 사용,FDA 유방암 적응증 포함 (호르몬 불응성 유방암),"임상 현실과 일치하는 재발견 후보로, 우선 shortlist에 두기 좋습니다."
12,1003,Camptothecin,TOP1,DNA replication,-0.5441507,1.0,10.0,Candidate,[],11.0,5,8.65,14,1,1,1,1,6.331006623497154e-05,유방암 미사용,연구용 천연 화합물. Irinotecan/Topotecan의 모 화합물. 직접 임상 사용 없음,재창출 관점의 exploratory candidate로 적절합니다.
13,1084,Rapamycin,MTORC1,PI3K/MTOR signaling,-2.3947394,1.0,7.71,Approved,[],10.21,7,8.95,11,1,1,1,1,0.01,적응증 확장/연구 중,유도체 Everolimus FDA HR+/HER2- 유방암 승인. Rapamycin 자체는 면역억제제 승인,"유방암으로 확장 가능성이 있고, 추가 translational 검토 가치가 있습니다."
14,1559,Luminespib,HSP90,Protein stability and degradation,-1.8342931,1.0,5.0,Candidate,[],6.5,0,8.8,13,1,1,1,1,0.01,적응증 확장/연구 중,"HSP90 억제제. 유방암 2상 임상시험 (HER2+, TNBC 대상)","유방암으로 확장 가능성이 있고, 추가 translational 검토 가치가 있습니다."
15,1511,Epirubicin,Anthracycline,DNA replication,0.092702374,1.0,2.83,Caution,"['Ames Mutagenicity(+)', 'DILI (Drug-Induced Liver Injury)(+)']",3.33,15,8.3,15,1,1,1,1,0.01,유방암 현재 사용,FDA 유방암 적응증 승인 (보조요법 FEC 레지멘),"임상 현실과 일치하는 재발견 후보로, 우선 shortlist에 두기 좋습니다."
